10/7/2017 10:57:33 PM  PLAYER-DIES  PLAYER
10/7/2017 10:57:38 PM  CONTINUED-GAME-StartingScene  GAME

10/7/2017 10:57:44 PM  Intellisense-START-DIALOGUE  DIALOGUE
10/7/2017 10:57:44 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:57:45 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:57:46 PM  OPEN-TERMINAL-FOR-TutorialEnemy2 (UnityEngine.GameObject)  TERMINAL-WINDOW
10/7/2017 10:57:46 PM  Intellisense-START-DIALOGUE  DIALOGUE
10/7/2017 10:57:46 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:57:47 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:57:47 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:57:48 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:57:48 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:57:51 PM  API-OPEN  HELP
10/7/2017 10:57:52 PM  Intellisense-START-DIALOGUE  DIALOGUE
10/7/2017 10:57:52 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:57:53 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:57:53 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:57:54 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:57:54 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:57:55 PM  API-CLOSED  HELP
10/7/2017 10:57:55 PM  API-OPEN  HELP
10/7/2017 10:57:55 PM  API-CLOSED  HELP
10/7/2017 10:57:56 PM  API-OPEN  HELP
10/7/2017 10:57:56 PM  API-CLOSED  HELP
10/7/2017 10:57:56 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:57:57 PM  API-OPEN  HELP
10/7/2017 10:57:57 PM  API-CLOSED  HELP
10/7/2017 10:57:57 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:57:57 PM  API-OPEN  HELP
10/7/2017 10:57:57 PM  API-CLOSED  HELP
10/7/2017 10:57:58 PM  API-OPEN  HELP
10/7/2017 10:57:59 PM  API-CLOSED  HELP
10/7/2017 10:58:01 PM  TYPING-CODE: System.body(Color.GREEN) --> System.body(Color.GREEN);  CODE
10/7/2017 10:58:01 PM  Intellisense-START-DIALOGUE  DIALOGUE
10/7/2017 10:58:01 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:58:01 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:58:02 PM  MOUSE-OVER-DEBUG-BUTTON  TERMINAL_WINDOW
10/7/2017 10:58:02 PM  DEBUG-CLICKED  TERMINAL_WINDOW
10/7/2017 10:58:03 PM  CORRECT-SYNTAX  CODE
10/7/2017 10:58:03 PM  Intellisense-START-DIALOGUE  DIALOGUE
10/7/2017 10:58:03 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:58:04 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:58:04 PM  Intellisense-END-DIALOGUE  DIALOGUE
10/7/2017 10:58:08 PM  OPEN-TERMINAL-FOR-Slime (4) (UnityEngine.GameObject)  TERMINAL-WINDOW
10/7/2017 10:58:10 PM  MOUSE-OVER-DEBUG-BUTTON  TERMINAL_WINDOW
10/7/2017 10:58:10 PM  DEBUG-CLICKED  TERMINAL_WINDOW
10/7/2017 10:58:10 PM  CORRECT-SYNTAX  CODE
10/7/2017 10:58:11 PM  OPEN-TERMINAL-FOR-Slime (4) (UnityEngine.GameObject)  TERMINAL-WINDOW
10/7/2017 10:58:11 PM  MOUSE-OVER-DEBUG-BUTTON  TERMINAL_WINDOW
10/7/2017 10:58:12 PM  DEBUG-CLICKED  TERMINAL_WINDOW
10/7/2017 10:58:12 PM  CORRECT-SYNTAX  CODE
10/7/2017 10:58:13 PM  OPEN-TERMINAL-FOR-Slime (4) (UnityEngine.GameObject)  TERMINAL-WINDOW
10/7/2017 10:58:14 PM  MOUSE-OVER-DEBUG-BUTTON  TERMINAL_WINDOW
10/7/2017 10:58:15 PM  MOUSE-OVER-DEBUG-BUTTON  TERMINAL_WINDOW
10/7/2017 10:58:15 PM  MOUSE-OVER-DEBUG-BUTTON  TERMINAL_WINDOW
10/7/2017 10:58:15 PM  MOUSE-OVER-DEBUG-BUTTON  TERMINAL_WINDOW
10/7/2017 10:58:16 PM  MOUSE-OVER-DEBUG-BUTTON  TERMINAL_WINDOW
10/7/2017 10:58:16 PM  MOUSE-OVER-DEBUG-BUTTON  TERMINAL_WINDOW
10/7/2017 10:58:19 PM  TYPING-CODE: System.body(Color.red); --> System.body(Color.E);  CODE
10/7/2017 10:58:19 PM  TYPING-CODE: System.body(Color.E); --> System.body(Color.EW);  CODE
10/7/2017 10:58:19 PM  TYPING-CODE: System.body(Color.EW); --> System.body(Color.EWS);  CODE
10/7/2017 10:58:19 PM  MOUSE-OVER-DEBUG-BUTTON  TERMINAL_WINDOW
10/7/2017 10:58:20 PM  MOUSE-OVER-DEBUG-BUTTON  TERMINAL_WINDOW
10/7/2017 10:58:20 PM  MOUSE-OVER-DEBUG-BUTTON  TERMINAL_WINDOW
10/7/2017 10:58:20 PM  MOUSE-OVER-DEBUG-BUTTON  TERMINAL_WINDOW
10/7/2017 10:58:20 PM  MOUSE-OVER-DEBUG-BUTTON  TERMINAL_WINDOW
10/7/2017 10:58:20 PM  MOUSE-OVER-DEBUG-BUTTON  TERMINAL_WINDOW
10/7/2017 10:58:23 PM  TYPING-CODE: System.body(Color.EWS); --> System.body(Color.E);  CODE
10/7/2017 10:58:24 PM  TYPING-CODE: System.body(Color.E); --> System.body(Color.);  CODE
10/7/2017 10:58:25 PM  TYPING-CODE: System.body(Color.); --> System.body(Color.R);  CODE
10/7/2017 10:58:25 PM  TYPING-CODE: System.body(Color.R); --> System.body(Color.RE);  CODE
10/7/2017 10:58:25 PM  TYPING-CODE: System.body(Color.RE); --> System.body(Color.RED);  CODE
10/7/2017 10:58:26 PM  MOUSE-OVER-DEBUG-BUTTON  TERMINAL_WINDOW
10/7/2017 10:58:26 PM  DEBUG-CLICKED  TERMINAL_WINDOW
10/7/2017 10:58:26 PM  CORRECT-SYNTAX  CODE
10/7/2017 10:58:27 PM  OPEN-TERMINAL-FOR-Slime (4) (UnityEngine.GameObject)  TERMINAL-WINDOW
10/7/2017 10:58:28 PM  CLOSE-TERMINAL-WINDOW  TERMINAL-WINDOW
10/7/2017 10:58:31 PM  Intellisense-START-DIALOGUE  DIALOGUE
10/7/2017 10:58:32 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:58:32 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:58:33 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:58:33 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:58:33 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:58:34 PM  OPEN-TERMINAL-FOR-TutorialChest (UnityEngine.GameObject)  TERMINAL-WINDOW
10/7/2017 10:58:34 PM  Intellisense-START-DIALOGUE  DIALOGUE
10/7/2017 10:58:35 PM  TYPING-CODE: System.close(); --> System.close();   CODE
10/7/2017 10:58:35 PM  SPEED-UP-DIALOGUE  DIALOGUE
10/7/2017 10:58:35 PM  TYPING-CODE: System.close();  --> System.close();    CODE
10/7/2017 10:58:37 PM  MOUSE-OVER-DEBUG-BUTTON  TERMINAL_WINDOW
10/7/2017 10:58:37 PM  DEBUG-CLICKED  TERMINAL_WINDOW
10/7/2017 10:58:37 PM  CORRECT-SYNTAX  CODE
10/7/2017 10:58:38 PM  OPEN-TERMINAL-FOR-TutorialChest (UnityEngine.GameObject)  TERMINAL-WINDOW
